,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 당일변동율,kospi 야간변동율,ks200 당일변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VKOSPI_Label
2023-02-10,-0.05,0.86,-0.28,0.07,0.046,-0.09,-0.438,-0.22,-0.492,-1.02,-2.316,0.77,19.531,6.422,345116.0,98182.0,-0.88,-1.514,0.034,5.5,7.64,0.0
2023-02-13,0.06,0.83,-0.24,-0.054,0.068,-0.48,-0.315,-0.37,-0.318,-0.61,0.03,1.09,-73.369,-62.18,-1549675.0,-1011710.0,0.22,0.529,-0.095,-0.87,-1.013,0.0
2023-02-14,0.85,0.74,0.03,0.059,0.044,-0.69,0.76,-0.6,0.855,1.48,1.128,0.98,-5.91,-15.847,-33243.0,-97519.0,1.14,0.993,0.033,-0.93,-6.094,1.0
2023-02-15,1.38,0.71,0.21,0.027,0.009,0.53,0.302,0.53,0.297,0.57,1.287,0.91,0.797,-6.243,4220.0,-32329.0,-0.03,0.229,0.005,-7.03,-8.736,1.0
2023-02-16,-0.59,0.67,-0.4,0.075,0.06,-1.53,0.666,-1.69,0.632,0.92,1.39,0.79,34.123,16.731,182032.0,81233.0,0.28,0.682,0.034,-3.6,-5.885,1.0
2023-02-17,0.0,0.65,-0.2,0.059,0.037,1.96,-1.124,1.92,-1.219,-1.78,-0.34,0.79,-0.339,-0.606,-2426.0,-3432.0,-1.38,-0.592,0.033,10.64,10.46,0.0
2023-02-20,0.77,0.62,0.05,0.154,0.016,-0.98,0.083,-1.02,0.09,-1.78,-0.34,1.0,-17.793,3.972,-126873.0,22373.0,-1.38,-0.592,0.13,-0.74,-4.394,0.0
2023-02-21,1.41,0.53,0.27,0.048,0.019,0.16,0.097,0.31,0.115,-0.58,0.083,0.85,21.584,4.042,126522.0,23676.0,-0.28,0.042,0.029,6.04,0.807,0.0
2023-02-22,0.44,0.5,-0.02,0.079,0.042,0.16,-1.142,-0.07,-1.126,-2.5,-1.272,1.03,-31.191,-16.772,-222305.0,-102202.0,-2.0,-1.357,0.031,7.72,4.908,0.0
2023-02-23,0.26,0.46,-0.06,0.053,0.041,-1.68,0.51,-1.75,0.579,0.13,-0.088,0.85,34.2,10.283,167717.0,52151.0,-0.16,-0.269,0.031,-2.54,-3.213,0.0
2023-02-24,0.66,0.44,0.07,0.021,0.015,0.89,0.139,1.11,0.141,0.72,-0.4,0.84,2.386,1.518,15706.0,8491.0,0.53,-0.156,0.011,-5.16,-3.734,0.0
2023-02-27,0.76,0.41,0.11,0.037,0.017,-0.63,-0.751,-0.78,-0.836,-1.69,-0.081,0.91,0.47,8.301,3164.0,47135.0,-1.05,-0.081,0.008,2.51,1.499,0.0
2023-02-28,0.06,0.31,-0.08,0.105,0.094,-0.87,0.622,-0.95,0.577,0.63,-0.436,0.93,16.296,18.922,110321.0,116361.0,0.31,-0.253,0.076,-3.32,-4.729,0.0
2023-03-02,1.0,0.28,0.23,0.079,0.043,0.42,0.073,0.27,0.159,-0.66,-0.595,0.91,-3.429,-4.892,-26994.0,-35778.0,-0.47,-0.302,0.032,-0.58,0.932,0.0
2023-03-03,-0.96,0.22,-0.37,0.074,0.043,0.62,0.448,0.46,0.452,0.73,1.678,0.87,29.511,23.215,224378.0,161467.0,0.76,1.083,0.032,-4.81,-8.501,0.0
2023-03-06,0.44,0.19,0.08,-0.091,0.015,0.17,0.838,0.03,0.904,1.97,1.426,0.95,22.529,34.009,221846.0,291452.0,1.61,1.191,-0.126,-5.62,-6.427,0.0
2023-03-07,0.06,0.1,-0.01,0.086,0.091,1.26,-0.227,1.45,-0.28,-0.11,-0.521,0.87,19.03,9.161,229611.0,105210.0,0.07,-0.166,0.076,0.65,-2.31,0.0
2023-03-08,-0.4,0.06,-0.14,0.063,0.036,0.03,-1.127,-0.36,-1.144,-1.25,-1.205,0.86,-18.372,-19.65,-263854.0,-246337.0,-1.53,-1.529,0.002,5.27,5.097,0.0
2023-03-09,-0.73,0.03,-0.24,0.058,0.041,-1.28,0.365,-1.38,0.377,0.4,0.198,0.88,23.07,25.436,270450.0,256224.0,0.14,0.112,0.03,-2.45,-3.044,0.0
