"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 26","9.0920","9.1165","9.1487","9.0555","","-0.14%"
"2023- 06- 23","9.1045","9.0737","9.1671","9.0555","","0.37%"
"2023- 06- 22","9.0706","9.0830","9.1552","9.0675","","-0.10%"
"2023- 06- 21","9.0798","9.1106","9.1420","9.0777","","-0.29%"
"2023- 06- 20","9.1060","9.0377","9.1271","9.0020","","0.84%"
"2023- 06- 19","9.0300","9.0065","9.0673","8.9938","","0.37%"
"2023- 06- 16","8.9965","9.0555","9.1025","8.9955","","-0.59%"
"2023- 06- 15","9.0501","9.0966","9.1285","9.0368","","-0.48%"
"2023- 06- 14","9.0936","9.0434","9.1523","9.0260","","0.59%"
"2023- 06- 13","9.0401","9.2036","9.2207","9.0386","","-1.75%"
"2023- 06- 12","9.2009","9.2370","9.2785","9.1976","","-0.39%"
"2023- 06- 09","9.2367","9.3333","9.3485","9.2295","","-0.94%"
"2023- 06- 08","9.3240","9.3392","9.3660","9.3090","","-0.12%"
"2023- 06- 07","9.3354","9.3073","9.3744","9.2909","","0.34%"
"2023- 06- 06","9.3039","9.3251","9.3624","9.2861","","-0.16%"
"2023- 06- 05","9.3192","9.3290","9.3635","9.3028","","-0.12%"
"2023- 06- 02","9.3300","9.4630","9.4725","9.3216","","-1.32%"
"2023- 06- 01","9.4545","9.4812","9.5297","9.4444","","-0.23%"
"2023- 05- 31","9.4766","9.4429","9.5195","9.4096","","0.40%"
"2023- 05- 30","9.4390","9.4338","9.4543","9.3983","","0.13%"
"2023- 05- 29","9.4267","9.4070","9.4524","9.3913","","0.24%"
"2023- 05- 26","9.4039","9.5055","9.5143","9.4029","","-1.06%"
"2023- 05- 25","9.5051","9.4563","9.5393","9.4433","","0.55%"
"2023- 05- 24","9.4531","9.5259","9.5421","9.4516","","-0.69%"
"2023- 05- 23","9.5188","9.4813","9.5439","9.4418","","0.43%"
"2023- 05- 22","9.4780","9.6012","9.6356","9.4764","","-1.32%"
"2023- 05- 19","9.6043","9.6210","9.6599","9.5514","","-0.14%"
"2023- 05- 18","9.6182","9.6940","9.7168","9.6101","","-0.73%"
"2023- 05- 17","9.6894","9.8455","9.8569","9.6804","","-1.54%"
"2023- 05- 16","9.8413","9.8132","9.8766","9.7980","","0.32%"
"2023- 05- 15","9.8102","9.8997","9.9020","9.7931","","-0.80%"
"2023- 05- 12","9.8896","9.8928","9.9382","9.8728","","0.00%"
"2023- 05- 11","9.8895","9.8109","9.9525","9.7941","","0.84%"
"2023- 05- 10","9.8070","9.8080","9.8483","9.7692","","0.04%"
"2023- 05- 09","9.8035","9.7878","9.8342","9.7759","","0.23%"
"2023- 05- 08","9.7808","9.7753","9.8334","9.7410","","0.12%"
"2023- 05- 05","9.7692","9.8538","9.8680","9.7562","","-0.82%"
"2023- 05- 04","9.8500","9.9136","9.9344","9.8173","","-0.57%"
"2023- 05- 03","9.9068","9.8322","9.9178","9.8061","","0.79%"
"2023- 05- 02","9.8287","9.7682","9.8495","9.7132","","0.70%"
"2023- 05- 01","9.7606","9.8182","9.8263","9.7546","","-0.55%"
"2023- 04- 28","9.8142","10.0001","10.0438","9.7974","","-1.81%"
"2023- 04- 27","9.9953","10.0133","10.0646","9.9860","","-0.14%"
"2023- 04- 26","10.0098","10.0308","10.0751","9.9807","","-0.17%"
"2023- 04- 25","10.0268","9.9298","10.0725","9.9030","","1.02%"
