,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,KOPSI 전날변동율,KOSPI 야간변동율,KS200 전날변동율,KS200 야간변동율,NAS 야간변동율,NAS 당일변동율,NAS 당일변화량,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,S&P 야간변동율,S&P 당일변동율,S&P 당일변화량,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VIX 당일변화량,JNIV 종가변동율,JNIV 전날변동율,JNIV 전날변화량,CD 전날변동율,CD 전날변화량,KOSPI 오전변동율,KOSPI 오전변화량,KS200 오전변동율,KS200 오전변화량,VKOSPI_Label
2023-09-19,2.28,2.25,0.01,0.039,0.046,-1.02,0.18,-1.25,0.244,0.01,0.295,87.82,1.16,-33.587,-35.781,-240293.0,-306428.0,0.07,0.189,24.25,0.036,1.52,-2.778,0.89,-2.49,0.879,0.77,0.265,-0.01,-0.361,12.69,-0.36,1.95,1.0
2023-09-20,1.93,2.2,-0.08,0.033,0.031,-0.6,-0.104,-0.54,-0.083,-0.23,0.211,126.28,0.93,12.389,-9.872,58867.0,-54290.0,-0.22,-0.033,33.24,0.028,0.79,0.0,1.02,-0.5,-4.821,0.33,0.264,-0.01,-0.0,11.32,-0.05,1.47,1.0
2023-09-21,1.85,2.18,-0.1,0.049,0.031,0.02,-0.583,-0.02,-0.596,-1.53,-1.759,260.53,0.9,-13.694,-16.071,-73128.0,-79662.0,-0.94,-1.137,59.65,0.039,7.3,6.77,1.58,5.82,-0.646,0.4,0.263,-0.01,-0.467,18.17,-0.454,2.69,0.0
2023-09-22,1.16,2.1,-0.28,0.055,0.053,-1.75,-0.935,-1.69,-0.943,-1.82,-0.781,139.67,0.82,56.807,42.404,261812.0,176409.0,-1.64,-1.014,46.53,0.043,15.85,13.234,2.44,2.01,-2.596,1.18,0.262,-0.01,0.283,11.07,0.246,1.74,1.0
2023-09-25,0.83,2.07,-0.37,0.12,0.125,-0.27,-0.161,-0.31,-0.187,-0.09,-0.567,152.58,1.06,-3.402,24.434,-24587.0,144753.0,-0.23,-0.499,40.91,0.115,-1.94,-0.635,1.48,5.74,-5.538,1.89,0.262,-0.01,-0.151,11.6,-0.096,1.87,0.0
2023-09-26,1.52,1.96,-0.13,0.137,0.09,-0.49,-0.085,-0.13,-0.021,0.45,0.75,145.83,0.69,1.702,-33.137,11884.0,-244281.0,0.4,0.622,35.81,0.126,-1.74,-2.029,1.62,-2.3,0.848,0.62,0.0,0.0,-0.174,28.84,-0.177,4.27,0.0
2023-09-27,1.45,2.71,-0.38,0.124,0.112,-1.31,-0.608,-1.41,-0.566,-1.57,-0.89,165.73,1.04,-4.23,43.365,-30035.0,213744.0,-1.47,-0.912,47.03,0.086,12.07,5.047,2.33,-1.23,1.616,0.99,0.0,0.0,0.039,16.66,-0.071,2.29,1.0
2023-10-04,2.29,2.67,-0.12,0.075,0.078,0.09,-1.188,-0.06,-1.255,-1.87,-1.287,271.44,0.97,27.653,19.408,188026.0,137145.0,-1.37,-0.944,64.7,0.071,12.32,11.061,2.96,2.61,-3.772,0.9,0.0,0.0,-0.287,25.91,-0.265,3.04,0.0
2023-10-05,0.65,2.38,-0.54,0.059,0.056,-2.41,0.734,-2.22,0.629,1.35,1.093,186.25,1.21,15.01,43.31,130285.0,365440.0,0.81,0.707,48.02,0.069,-6.07,-10.328,2.58,7.52,-8.517,1.43,0.261,-0.01,0.239,20.71,0.166,2.93,1.0
2023-10-06,1.17,2.35,-0.37,0.054,0.053,-0.09,0.217,-0.27,0.217,-0.12,-0.063,163.61,1.1,-2.268,-11.59,-22640.0,-140148.0,-0.13,-0.026,41.22,0.046,-0.48,-0.964,1.32,12.12,7.612,0.76,-0.26,0.01,-0.049,14.04,-0.012,1.79,1.0
