현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
-245691,22681,20230927133000,+245515,+245867,+245405,,,,
-245526,18847,20230927130000,+245345,+245665,+245299,,,,
-245486,14573,20230927123000,+245240,+245510,+244970,,,,
-245221,14049,20230927120000,+245373,+245498,+245041,,,,
-245403,14297,20230927113000,+245526,+245663,+245347,,,,
-245469,15101,20230927110000,+245944,+245953,+245357,,,,
-245896,25295,20230927103000,+246033,+246231,+245522,,,,
-245996,26932,20230927100000,-245013,+246116,-245013,,,,
-245136,28176,20230927093000,+244959,+245658,+244938,,,,
-245040,94860,20230927090000,+244799,+246217,+244551,,,,
-246297,19277,20230926153000,+246294,+246315,+246294,,,,
-246294,22700,20230926150000,+246395,+246683,+246159,,,,
-246492,26381,20230926143000,+246485,+246824,+246345,,,,
-246525,18462,20230926140000,+246404,+246600,+246308,,,,
-246402,22018,20230926133000,+246533,+246697,+246250,,,,
-246632,23330,20230926130000,+246809,+246884,+246332,,,,
-246785,16272,20230926123000,+246560,+246796,+246349,,,,
-246491,12504,20230926120000,+246427,+246783,+246335,,,,
-246324,22987,20230926113000,+246588,+246588,+246242,,,,
-246514,22953,20230926110000,+246646,+246841,+246379,,,,
-246565,28577,20230926103000,+247313,+247415,+246481,,,,
-247316,30724,20230926100000,+246717,+247316,+246692,,,,
-246783,60271,20230926093000,+247241,+247610,+246616,,,,
-247214,101020,20230926090000,+249364,+249500,+247147,,,,
-249576,18327,20230925153000,+249545,+249576,+249530,,,,
-249545,26630,20230925150000,+249399,+249598,+249080,,,,
-249394,27426,20230925143000,+249983,+250010,+249295,,,,
-250001,25303,20230925140000,+249813,+250229,+249612,,,,
-249847,20612,20230925133000,+249808,+250113,+249721,,,,
-249921,23256,20230925130000,+249452,+249921,+249320,,,,
-249434,31473,20230925123000,+249462,+249844,+249358,,,,
-249397,22498,20230925120000,+249173,+249455,+249141,,,,
-249190,25985,20230925113000,+248840,+249395,+248840,,,,
-248947,22056,20230925110000,+249496,+249553,+248644,,,,
-249471,25521,20230925103000,+249872,+250143,+249367,,,,
-249874,30662,20230925100000,+250376,+250606,+249848,,,,
-250309,55994,20230925093000,+250653,+250773,-249778,,,,
-250687,82872,20230925090000,-250410,+250938,-249840,,,,
-250813,17745,20230922153000,+250815,+250891,+250811,,,,
-250815,26635,20230922150000,+250815,+250893,+250635,,,,
-250848,30000,20230922143000,+250760,+251171,+250622,,,,
-250741,20285,20230922140000,+250616,+250821,+250473,,,,
-250700,16413,20230922133000,+250868,+250868,+250348,,,,
-250870,20209,20230922130000,+250892,+251326,+250704,,,,
-250893,15128,20230922123000,+250764,+251037,+250709,,,,
-250860,15797,20230922120000,+250539,+250941,+250271,,,,
-250529,19829,20230922113000,+250600,+250733,+250339,,,,
-250648,21120,20230922110000,+250612,+250957,+250556,,,,
-250638,30293,20230922103000,-249689,+250671,-249671,,,,
-249692,39991,20230922100000,+249423,+249697,+248912,,,,
-249464,55425,20230922093000,+248873,+249584,+248614,,,,
-248760,104314,20230922090000,+249145,+249721,+248722,,,,
-251497,19855,20230921153000,+251780,+251780,+251496,,,,
-251780,19483,20230921150000,+251798,+251814,+251537,,,,
-251828,23402,20230921143000,+251888,+252020,+251702,,,,
-251911,19151,20230921140000,+251870,+252127,+251779,,,,
-251892,17179,20230921133000,+251990,+252234,+251865,,,,
-251970,18137,20230921130000,+251962,+252122,+251630,,,,
